model,fold,epoch,train_loss,train_acc,val_loss,val_acc
EfficientNet,3,15,0.5179189827862908,0.9936029411764706,0.5035637157103595,0.9991176470588236
EfficientNet,4,1,1.3648875460905188,0.6281617647058824,0.622869073082419,0.9591176470588235
EfficientNet,4,2,0.689980729748221,0.9293382352941176,0.538576940648696,0.9891176470588235
EfficientNet,4,3,0.6166530421200921,0.9586029411764706,0.5261614300222958,0.9941176470588236
EfficientNet,4,4,0.5871677350997925,0.9693382352941177,0.5223665250048918,0.9938235294117647
EfficientNet,4,5,0.5705363576552447,0.975735294117647,0.5161887017418356,0.9955882352941177
EfficientNet,4,6,0.5562210003067466,0.9806617647058824,0.5199488439279444,0.9944117647058823
EfficientNet,4,7,0.5435001000236063,0.9851470588235294,0.5230244567814996,0.9923529411764705
EfficientNet,4,8,0.5404038987440222,0.9868382352941176,0.5092746029180639,0.9979411764705882
EfficientNet,4,9,0.5293756813161513,0.9905147058823529,0.5053468549952788,0.9991176470588236
EfficientNet,4,10,0.5282627438096439,0.99,0.5075462665277369,0.9982352941176471
EfficientNet,4,11,0.5231657199298634,0.9922058823529412,0.5041393798940322,0.9991176470588236
EfficientNet,4,12,0.5217292878207038,0.9927941176470588,0.502956597103792,0.9991176470588236
EfficientNet,4,13,0.5198170490825877,0.9941176470588236,0.5023206137208378,0.9994117647058823
EfficientNet,4,14,0.5185065570999594,0.9942647058823529,0.5022891152606291,0.9994117647058823
EfficientNet,4,15,0.5220654602611766,0.9926470588235294,0.5021200119747835,0.9994117647058823
